age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,monthyear,name,outcome_subtype,outcome_type,sex_upon_outcome,age,puppy,dob_year,dob_month,dob_monthyear,outcome_month,outcome_year,outcome_weekday,outcome_hour,color1,color2
2 years,A706368,Bird,chicken,brown,2013-06-27 00:00:00,2015-06-29 09:42:00,2015-06-29 09:42:00,,Partner,Transfer,Unknown,732,False,2013,6,2015-06,6,2015,0,9,brown,
1 year,A720739,Bird,chicken,black/red,2015-02-14 00:00:00,2016-03-08 00:00:00,2016-03-08 00:00:00,Rooster 23,Partner,Transfer,Intact Male,388,False,2015,2,2016-03,3,2016,1,0,black,red
8 months,A749156,Bird,duck,yellow,2016-09-11 00:00:00,2017-05-15 09:32:00,2017-05-15 09:32:00,,Foster,Adoption,Unknown,246,True,2016,9,2017-05,5,2017,0,9,yellow,
1 year,A722224,Bird,wren,brown,2015-03-12 00:00:00,2016-03-18 14:33:00,2016-03-18 14:33:00,,,Relocate,Unknown,372,False,2015,3,2016-03,3,2016,4,14,brown,
3 weeks,A702156,Bird,mockingbird,black/gray,2015-04-18 00:00:00,2015-05-10 17:19:00,2015-05-10 17:19:00,,Partner,Transfer,Unknown,22,True,2015,4,2015-05,5,2015,6,17,black,gray
2 years,A741066,Bird,cockatiel,gray/yellow,2014-12-27 00:00:00,2016-12-31 13:04:00,2016-12-31 13:04:00,,,Adoption,Unknown,735,False,2014,12,2016-12,12,2016,5,13,gray,yellow
2 years,A729753,Bird,dove,gray/white,2014-06-23 00:00:00,2016-06-23 14:52:00,2016-06-23 14:52:00,,Suffering,Euthanasia,Unknown,731,False,2014,6,2016-06,6,2016,3,14,gray,white
1 year,A751393,Bird,chicken,white/black,2016-06-07 00:00:00,2017-06-17 13:22:00,2017-06-17 13:22:00,*Clark Gable,,Adoption,Intact Male,375,False,2016,6,2017-06,6,2017,5,13,white,black
1 year,A757392,Bird,grackle,black,2016-09-01 00:00:00,2017-09-01 18:24:00,2017-09-01 18:24:00,,Suffering,Euthanasia,Intact Female,365,True,2016,9,2017-09,9,2017,4,18,black,
1 year,A720718,Bird,chicken,black/yellow,2015-02-14 00:00:00,2016-03-08 14:20:00,2016-03-08 14:20:00,Tito,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,14,black,yellow
1 year,A748022,Bird,chicken,red,2016-04-28 00:00:00,2017-05-04 00:00:00,2017-05-04 00:00:00,,Partner,Transfer,Unknown,371,False,2016,4,2017-05,5,2017,3,0,red,
1 year,A722867,Bird,grackle,black,2015-03-23 00:00:00,2016-03-23 13:33:00,2016-03-23 13:33:00,,Suffering,Euthanasia,Unknown,366,False,2015,3,2016-03,3,2016,2,13,black,
1 year,A756928,Bird,pigeon,gray,2016-08-28 00:00:00,2017-08-28 10:17:00,2017-08-28 10:17:00,,Medical,Euthanasia,Unknown,365,True,2016,8,2017-08,8,2017,0,10,gray,
1 year,A702542,Bird,dove,brown,2014-05-15 00:00:00,2015-05-15 13:13:00,2015-05-15 13:13:00,,Suffering,Euthanasia,Unknown,365,True,2014,5,2015-05,5,2015,4,13,brown,
1 year,A739191,Bird,turkey,black/red,2015-11-29 00:00:00,2016-11-29 18:03:00,2016-11-29 18:03:00,Prince,,Return to Owner,Intact Male,366,False,2015,11,2016-11,11,2016,1,18,black,red
1 year,A720730,Bird,chicken,yellow/black,2015-02-14 00:00:00,2016-03-08 14:34:00,2016-03-08 14:34:00,Rooster 14,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,14,yellow,black
1 year,A740019,Bird,cockatiel,gray/white,2015-12-10 00:00:00,2016-12-12 17:35:00,2016-12-12 17:35:00,Greeki,,Adoption,Unknown,368,False,2015,12,2016-12,12,2016,0,17,gray,white
5 months,A748817,Bird,duck,yellow,2016-12-07 00:00:00,2017-05-11 18:36:00,2017-05-11 18:36:00,,,Adoption,Unknown,155,True,2016,12,2017-05,5,2017,3,18,yellow,
3 years,A714366,Bird,goose,white/gray,2012-10-22 00:00:00,2015-10-26 00:00:00,2015-10-26 00:00:00,,Partner,Transfer,Unknown,1099,False,2012,10,2015-10,10,2015,0,0,white,gray
1 year,A743806,Bird,barred rock,black/white,2016-02-17 00:00:00,2017-02-25 10:18:00,2017-02-25 10:18:00,,Partner,Transfer,Intact Male,374,False,2016,2,2017-02,2,2017,5,10,black,white
1 year,A720755,Bird,chicken,white,2015-02-14 00:00:00,2016-03-09 10:58:00,2016-03-09 10:58:00,Rooster  D 9,,Disposal,Intact Male,389,False,2015,2,2016-03,3,2016,2,10,white,
2 years,A721084,Bird,pigeon,blue/white,2014-02-20 00:00:00,2016-02-20 17:16:00,2016-02-20 17:16:00,,,Died,Unknown,730,False,2014,2,2016-02,2,2016,5,17,blue,white
2 years,A747995,Bird,owl,brown/white,2015-04-27 00:00:00,2017-04-27 18:25:00,2017-04-27 18:25:00,,Suffering,Euthanasia,Unknown,731,False,2015,4,2017-04,4,2017,3,18,brown,white
6 months,A751513,Bird,chicken,red,2016-12-09 00:00:00,2017-06-10 10:36:00,2017-06-10 10:36:00,Psyduck,Offsite,Adoption,Unknown,183,True,2016,12,2017-06,6,2017,5,10,red,
2 years,A735015,Bird,dove,gray/white,2014-09-17 00:00:00,2016-09-17 10:05:00,2016-09-17 10:05:00,,Suffering,Euthanasia,Unknown,731,False,2014,9,2016-09,9,2016,5,10,gray,white
2 years,A760807,Bird,peafowl,gray/blue,2015-10-24 00:00:00,2017-10-31 00:00:00,2017-10-31 00:00:00,,Partner,Transfer,Intact Male,738,False,2015,10,2017-10,10,2017,1,0,gray,blue
3 weeks,A702157,Bird,sparrow,brown/gray,2015-04-18 00:00:00,2015-05-10 17:20:00,2015-05-10 17:20:00,,Partner,Transfer,Unknown,22,True,2015,4,2015-05,5,2015,6,17,brown,gray
4 weeks,A749717,Bird,pigeon,black,2017-04-18 00:00:00,2017-05-21 18:28:00,2017-05-21 18:28:00,,Suffering,Euthanasia,Unknown,33,True,2017,4,2017-05,5,2017,6,18,black,
1 year,A720732,Bird,chicken,black/red,2015-02-14 00:00:00,2016-03-08 17:20:00,2016-03-08 17:20:00,*Randy,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,17,black,red
